ID,Group,Feature_1,Feature_2,Feature_3
D001,B,2800.0,421.16758095834416,5618.684120498386
D002,C,2580.0314416734445,411.7870574024676,-2157.636057901861
D003,A,2695.747596821148,399.1379572230191,6067.318523323708
D004,A,2800.0,394.1317442173898,6417.530770885776
D005,B,2800.0,414.1137642186267,5597.746460936302
D006,A,2304.544424024718,406.0780612048433,4889.086213709216
D007,B,2690.017683505118,407.47078607024287,5378.755534926313
D008,C,2469.7285583404605,399.60711643983626,-2076.0400145459503
D009,A,2479.3562296412883,374.67654958342854,5571.8295446990305
D010,B,2582.1197003876746,398.31301026160673,5178.209221970049
D011,B,2528.8087142321756,392.012651211864,5054.829900378112
D012,B,2790.854701392595,409.67582910189816,5590.456561193812
D013,C,2652.2075450293987,415.17763649491286,-2267.9785174767594
D014,C,2524.335003298566,390.1307343285825,-2145.454381603288
D015,C,2588.772646549085,407.0257785141558,-2185.6019752796255
D016,C,2566.7348654748534,426.0381849652857,-2146.559475158623
D017,B,2798.8158146315213,389.98430919144164,5601.625207871896
D018,B,2458.96834724684,425.22882610109707,4930.101701063659
D019,A,2562.61354033018,387.2112122924403,5757.8645878406805
D020,A,2329.180852139655,400.34439633411927,4978.353869087308
D021,A,2200.0,399.83281582237237,4582.562703802088
D022,A,2630.723719088072,400.17248349805095,5897.992309220908
D023,C,2672.887239771901,387.43482937138083,-2307.5105312765604
D024,B,2351.5669959187117,391.13225344353356,4710.9704392383
D025,C,2800.0,389.984195704609,-2412.2771932809515
D026,C,2209.126865080247,404.90443893106686,-1818.3324460044391
D027,A,2509.1517034602894,404.95052671765467,5506.1495645421965
D028,A,2462.5632299948334,433.38916497607386,5220.709351872222
D029,C,2800.0,420.5648350943668,-2379.8743324206284
D030,B,2793.871753980057,392.35235136792284,5586.732828401785
D031,A,2530.9894851393833,404.8730442369428,5573.6375235345495
D032,B,2575.632503920435,414.9567697118764,5162.358216104371
D033,C,2322.4428504739776,400.45902736507776,-1916.0244407270936
D034,B,2200.0,398.955376323296,4412.145598277868
D035,A,2430.4175701347694,400.77362414154834,5286.854913070393
D036,C,2531.269793820796,413.00914943212643,-2098.839132497886
D037,B,2746.0581361455443,387.27519215792154,5498.9695901566465
D038,B,2740.4759697568825,395.11495796769736,5474.427611157572
D039,A,2422.5346365184096,407.0564971726972,5219.19468301093
D040,C,2439.5394498849328,404.67170607331235,-2032.3981821668115
D041,C,2290.2894069865815,403.59374139784586,-1902.3739238638068
D042,C,2215.996412564205,394.45298250544295,-1833.223941669443
D043,A,2200.0,414.5880368371381,4529.928860778792
D044,A,2800.0,432.00802370806804,6232.665232104276
D045,C,2398.0695636496694,406.0962324051431,-2003.1731261272494
D046,A,2412.3851396777627,397.1023494767524,5251.229971096465
D047,A,2249.4409279900146,411.3361043334181,4692.514397092199
D048,A,2655.498071166382,391.91301044870517,6004.459152952996
D049,C,2200.0,388.75464482945654,-1815.7759181992549
D050,B,2457.4519439572064,400.4921312142057,4925.1596006589625
D051,A,2320.906687761265,361.25805050545085,5160.538938971983
D052,B,2577.3804995718524,382.69074454521984,5152.079885797369
D053,C,2397.8389724862254,394.7805721611873,-1973.4865371228536
D054,B,2263.8735631755176,379.6991671277843,4530.073107194176
D055,B,2494.363554332269,384.51035347161803,5002.311170268666
D056,A,2585.6663741060834,393.4487749381299,5783.023475590019
D057,C,2513.3034444766336,375.3555205970409,-2154.3032152460887
D058,B,2560.494379547956,393.90892305610254,5111.487680908191
D059,C,2373.135581263807,391.97094753200736,-1984.3807511325772
D060,C,2427.4517668025724,400.3810781257752,-2033.0299871935513
D061,B,2365.5079104448096,417.31276045741026,4747.052455077493
D062,C,2428.0893676918918,402.587566247393,-2026.9422949096522
D063,A,2337.370743591109,400.315930320131,5016.070205701966
D064,A,2200.0,401.4918168554607,4591.983141850302
D065,B,2535.4852284507506,403.4108916268169,5065.7678049087035
D066,A,2419.643812758348,384.7489202708535,5335.642789082218
D067,A,2200.0,398.27837012843804,4629.176766995059
D068,A,2592.556451105155,404.6312686275492,5745.297627076877
D069,A,2318.5403271233517,379.4386002618541,5067.6318654675
D070,C,2510.389079159228,412.9847938422378,-2109.7163723364997
D071,B,2645.8181124355074,416.22064051687283,5286.120707563781
D072,C,2525.796582151482,390.5293601732592,-2135.224223506768
D073,C,2727.88013690866,396.37993312820345,-2327.583702703733
D074,C,2253.0348359292693,386.8271448578489,-1848.4101475357347
D075,B,2580.46832823551,410.4907072538173,5160.335664773445
D076,B,2363.0379818119372,384.0816656883114,4715.952576345443
D077,C,2325.840570163624,396.6628448463562,-1921.3772216406585
D078,B,2384.230067047117,387.1162013828849,4764.090096387245
D079,A,2437.6894935745254,400.76431415516936,5312.111088798912
D080,B,2511.233068445949,373.0865609276542,5021.071467617445
D081,B,2266.970031843329,419.8969246354854,4510.618581471215
D082,C,2680.1652973908376,385.53090363690603,-2288.534803526804
D083,A,2593.132487946092,400.89842024674414,5781.905778686411
D084,B,2200.0,396.8121543284454,4411.119257219703
D085,C,2797.65043875912,388.56828232116254,-2387.476603288435
D086,A,2800.0,386.683297950461,6452.242264966133
D087,C,2735.75591423193,414.0459781532869,-2315.511846747262
D088,C,2464.01503283753,392.1153911034709,-2066.988101774368
D089,C,2285.8494756978916,404.06755276955965,-1886.8109068420258
D090,A,2710.890345386227,387.9775467190844,6197.5485774006565
D091,B,2419.364610605364,390.2922785222836,4844.7249846720715
D092,A,2744.4890140764855,407.0837072513177,6183.424300013142
D093,C,2541.654995615372,413.95612744166675,-2124.744195038388
D094,B,2695.327807296743,397.3702539650947,5379.639802921431
D095,B,2571.2732794348804,378.67120192539346,5134.724280870593
D096,A,2641.3146336383898,429.96934119625007,5752.800257151655
D097,B,2502.100004144164,387.15176037648683,4998.519677182298
D098,B,2800.0,376.87618900492316,5597.557151942318
D099,C,2525.382418540724,438.91636881652227,-2079.867767316645
D100,B,2580.3978726889404,393.9395155922359,5160.806544497934
D101,C,2800.0,378.0740096760789,-2440.4334481335172
D102,C,2230.4481877715107,389.74840349816975,-1830.3540075907297
D103,B,2245.9030003028533,405.513173440334,4490.382961123106
D104,B,2693.879341631602,402.8546733639091,5393.61913034836
D105,B,2265.375318977168,387.22406204119613,4542.341871375852
D106,C,2800.0,427.3408540019194,-2355.5878890104523
D107,A,2417.2762038480505,392.1763048300994,5314.481811266034
D108,A,2350.5090377118486,382.22970114382673,5139.511742312352
D109,A,2800.0,414.4104009769099,6331.681488468574
D110,C,2796.102958286885,419.93594269809523,-2389.107348678591
D111,B,2800.0,387.7376035357566,5612.739202040423
D112,B,2681.208931655077,378.97979060441037,5348.199213975293
D113,B,2327.7548629890593,415.45657401123407,4633.8467057145535
D114,B,2800.0,369.2901458041306,5609.964632064085
D115,B,2446.399325809724,381.60067510905077,4886.538293320074
D116,B,2660.491279159279,414.5116922507535,5330.313845694665
D117,C,2689.4503935547496,399.16971177966417,-2285.3837859829314
D118,B,2468.997981381833,396.04093977110966,4918.435930951382
D119,B,2622.815874069216,405.29224909741566,5212.995595766561
D120,A,2684.4413343133056,397.70838364681885,6051.62286374071
D121,C,2575.285106231126,380.51969916755365,-2194.567509219802
D122,B,2280.119841883161,419.14113019009284,4545.578367749985
D123,C,2559.647634841211,419.87521079330224,-2147.6055614400934
D124,A,2765.277179337406,403.0799884566694,6262.924306961703
D125,B,2361.086428053727,400.67701023148015,4724.211391625017
D126,A,2470.073091934466,435.09437209030085,5235.83732647633
D127,A,2412.9692896556726,395.85350732476246,5253.863620854634
D128,C,2800.0,396.1063452724894,-2387.128871111746
D129,B,2634.458951402487,405.4672187386076,5286.890483132809
D130,B,2581.4923672482223,422.06982934213505,5169.767940926882
D131,A,2346.016785110937,423.89156131626225,4896.995294573899
D132,C,2607.8498382583634,396.12141052484844,-2224.9847094999823
D133,C,2365.133467868525,404.6249686893902,-1955.6229352061355
D134,A,2506.36611165487,379.32874799403885,5614.911904031481
D135,A,2372.8307843242237,395.3203583812568,5136.045463885845
D136,B,2635.2866589893,387.3956440678104,5281.360926713657
D137,C,2615.3181633229883,384.89752371551526,-2224.2901417447642
D138,C,2458.340248884401,425.2236507440099,-2017.3467449346238
D139,B,2579.201342532329,388.1157000729078,5153.2521735049
D140,A,2281.3876982538986,392.0259113798282,4900.536242907918
D141,A,2201.748481458879,405.4877318187529,4571.157210317858
D142,C,2587.8783402529075,419.4673790046038,-2150.417063366638
D143,B,2533.334699074506,407.21672689583255,5067.939413872413
D144,A,2627.0062873784213,441.39032671032373,5663.741111618331
D145,A,2800.0,398.8799803262328,6386.025464276994
D146,A,2688.895897398083,403.8807466034462,6043.666291398678
D147,A,2317.4355549111683,404.1340101097608,4928.561821808756
D148,B,2723.4032576191707,421.52574080183734,5457.098458159811
D149,C,2236.818517897696,407.60858426664424,-1830.53701966475
D150,C,2407.683079037058,398.25655449419276,-2014.615708285807
D151,A,2486.351678935074,385.7876710763968,5543.041131098607
D152,A,2800.0,403.6666518394245,6378.968822067635
D153,A,2351.049035590312,421.0201724693794,4941.131342629316
D154,B,2334.712292268197,393.84427309513194,4676.319891543905
D155,C,2480.3094951149137,407.9341542762487,-2078.2532794648323
D156,C,2367.3043427275784,403.6922168302727,-1955.7065001970077
D157,B,2725.3271844213014,412.95279487571975,5443.491363501204
D158,C,2284.0136983273155,387.928693890432,-1898.7605146325282
D159,C,2270.5062695177794,435.1997054578984,-1833.480440352822
D160,C,2412.435991051113,380.8125833945761,-2036.1129234997086
D161,B,2400.393509861539,394.51673365020946,4800.6256020907895
D162,A,2800.0,414.0713881135847,6339.428723062957
D163,A,2689.8841613851523,404.4509975874117,6052.324717714239
D164,C,2517.510248277038,412.44979238621653,-2099.288817690406
D165,A,2254.9128962339664,392.55846499026154,4794.3211984871605
D166,C,2668.8725952803093,398.8779252597949,-2259.7607128012223
D167,C,2299.956930522087,400.18347975458227,-1891.7387026813958
D168,B,2200.0,423.53889421803854,4412.053030307139
D169,B,2737.6059584704603,410.3564353657457,5466.495526954687
