ID,Group,Feature_1,Feature_2,Feature_3
D001,B,2800.00,421.17,5618.68
D002,C,2580.03,411.79,-2157.64
D003,A,2695.75,399.14,6067.32
D004,A,2800.00,394.13,6417.53
D005,B,2800.00,414.11,5597.75
D006,A,2304.54,406.08,4889.09
D007,B,2690.02,407.47,5378.76
D008,C,2469.73,399.61,-2076.04
D009,A,2479.36,374.68,5571.83
D010,B,2582.12,398.31,5178.21
D011,B,2528.81,392.01,5054.83
D012,B,2790.85,409.68,5590.46
D013,C,2652.21,415.18,-2267.98
D014,C,2524.34,390.13,-2145.45
D015,C,2588.77,407.03,-2185.60
D016,C,2566.73,426.04,-2146.56
D017,B,2798.82,389.98,5601.63
D018,B,2458.97,425.23,4930.10
D019,A,2562.61,387.21,5757.86
D020,A,2329.18,400.34,4978.35
D021,A,2200.00,399.83,4582.56
D022,A,2630.72,400.17,5897.99
D023,C,2672.89,387.43,-2307.51
D024,B,2351.57,391.13,4710.97
D025,C,2800.00,389.98,-2412.28
D026,C,2209.13,404.90,-1818.33
D027,A,2509.15,404.95,5506.15
D028,A,2462.56,433.39,5220.71
D029,C,2800.00,420.56,-2379.87
D030,B,2793.87,392.35,5586.73
D031,A,2530.99,404.87,5573.64
D032,B,2575.63,414.96,5162.36
D033,C,2322.44,400.46,-1916.02
D034,B,2200.00,398.96,4412.15
D035,A,2430.42,400.77,5286.85
D036,C,2531.27,413.01,-2098.84
D037,B,2746.06,387.28,5498.97
D038,B,2740.48,395.11,5474.43
D039,A,2422.53,407.06,5219.19
D040,C,2439.54,404.67,-2032.40
D041,C,2290.29,403.59,-1902.37
D042,C,2216.00,394.45,-1833.22
D043,A,2200.00,414.59,4529.93
D044,A,2800.00,432.01,6232.67
D045,C,2398.07,406.10,-2003.17
D046,A,2412.39,397.10,5251.23
D047,A,2249.44,411.34,4692.51
D048,A,2655.50,391.91,6004.46
D049,C,2200.00,388.75,-1815.78
D050,B,2457.45,400.49,4925.16
D051,A,2320.91,361.26,5160.54
D052,B,2577.38,382.69,5152.08
D053,C,2397.84,394.78,-1973.49
D054,B,2263.87,379.70,4530.07
D055,B,2494.36,384.51,5002.31
D056,A,2585.67,393.45,5783.02
D057,C,2513.30,375.36,-2154.30
D058,B,2560.49,393.91,5111.49
D059,C,2373.14,391.97,-1984.38
D060,C,2427.45,400.38,-2033.03
D061,B,2365.51,417.31,4747.05
D062,C,2428.09,402.59,-2026.94
D063,A,2337.37,400.32,5016.07
D064,A,2200.00,401.49,4591.98
D065,B,2535.49,403.41,5065.77
D066,A,2419.64,384.75,5335.64
D067,A,2200.00,398.28,4629.18
D068,A,2592.56,404.63,5745.30
D069,A,2318.54,379.44,5067.63
D070,C,2510.39,412.98,-2109.72
D071,B,2645.82,416.22,5286.12
D072,C,2525.80,390.53,-2135.22
D073,C,2727.88,396.38,-2327.58
D074,C,2253.03,386.83,-1848.41
D075,B,2580.47,410.49,5160.34
D076,B,2363.04,384.08,4715.95
D077,C,2325.84,396.66,-1921.38
D078,B,2384.23,387.12,4764.09
D079,A,2437.69,400.76,5312.11
D080,B,2511.23,373.09,5021.07
D081,B,2266.97,419.90,4510.62
D082,C,2680.17,385.53,-2288.53
D083,A,2593.13,400.90,5781.91
D084,B,2200.00,396.81,4411.12
D085,C,2797.65,388.57,-2387.48
D086,A,2800.00,386.68,6452.24
D087,C,2735.76,414.05,-2315.51
D088,C,2464.02,392.12,-2066.99
D089,C,2285.85,404.07,-1886.81
D090,A,2710.89,387.98,6197.55
D091,B,2419.36,390.29,4844.72
D092,A,2744.49,407.08,6183.42
D093,C,2541.65,413.96,-2124.74
D094,B,2695.33,397.37,5379.64
D095,B,2571.27,378.67,5134.72
D096,A,2641.31,429.97,5752.80
D097,B,2502.10,387.15,4998.52
D098,B,2800.00,376.88,5597.56
D099,C,2525.38,438.92,-2079.87
D100,B,2580.40,393.94,5160.81
D101,C,2800.00,378.07,-2440.43
D102,C,2230.45,389.75,-1830.35
D103,B,2245.90,405.51,4490.38
D104,B,2693.88,402.85,5393.62
D105,B,2265.38,387.22,4542.34
D106,C,2800.00,427.34,-2355.59
D107,A,2417.28,392.18,5314.48
D108,A,2350.51,382.23,5139.51
D109,A,2800.00,414.41,6331.68
D110,C,2796.10,419.94,-2389.11
D111,B,2800.00,387.74,5612.74
D112,B,2681.21,378.98,5348.20
D113,B,2327.75,415.46,4633.85
D114,B,2800.00,369.29,5609.96
D115,B,2446.40,381.60,4886.54
D116,B,2660.49,414.51,5330.31
D117,C,2689.45,399.17,-2285.38
D118,B,2469.00,396.04,4918.44
D119,B,2622.82,405.29,5213.00
D120,A,2684.44,397.71,6051.62
D121,C,2575.29,380.52,-2194.57
D122,B,2280.12,419.14,4545.58
D123,C,2559.65,419.88,-2147.61
D124,A,2765.28,403.08,6262.92
D125,B,2361.09,400.68,4724.21
D126,A,2470.07,435.09,5235.84
D127,A,2412.97,395.85,5253.86
D128,C,2800.00,396.11,-2387.13
D129,B,2634.46,405.47,5286.89
D130,B,2581.49,422.07,5169.77
D131,A,2346.02,423.89,4897.00
D132,C,2607.85,396.12,-2224.98
D133,C,2365.13,404.62,-1955.62
D134,A,2506.37,379.33,5614.91
D135,A,2372.83,395.32,5136.05
D136,B,2635.29,387.40,5281.36
D137,C,2615.32,384.90,-2224.29
D138,C,2458.34,425.22,-2017.35
D139,B,2579.20,388.12,5153.25
D140,A,2281.39,392.03,4900.54
D141,A,2201.75,405.49,4571.16
D142,C,2587.88,419.47,-2150.42
D143,B,2533.33,407.22,5067.94
D144,A,2627.01,441.39,5663.74
D145,A,2800.00,398.88,6386.03
D146,A,2688.90,403.88,6043.67
D147,A,2317.44,404.13,4928.56
D148,B,2723.40,421.53,5457.10
D149,C,2236.82,407.61,-1830.54
D150,C,2407.68,398.26,-2014.62
D151,A,2486.35,385.79,5543.04
D152,A,2800.00,403.67,6378.97
D153,A,2351.05,421.02,4941.13
D154,B,2334.71,393.84,4676.32
D155,C,2480.31,407.93,-2078.25
D156,C,2367.30,403.69,-1955.71
D157,B,2725.33,412.95,5443.49
D158,C,2284.01,387.93,-1898.76
D159,C,2270.51,435.20,-1833.48
D160,C,2412.44,380.81,-2036.11
D161,B,2400.39,394.52,4800.63
D162,A,2800.00,414.07,6339.43
D163,A,2689.88,404.45,6052.32
D164,C,2517.51,412.45,-2099.29
D165,A,2254.91,392.56,4794.32
D166,C,2668.87,398.88,-2259.76
D167,C,2299.96,400.18,-1891.74
